iter	Passed	Remaining
0	1	1855
1	3	1739
2	5	1782
3	7	1790
4	8	1768
5	10	1750
6	12	1727
7	14	1758
8	15	1746
9	17	1739
10	19	1744
11	21	1738
12	23	1749
13	24	1747
14	26	1737
15	28	1742
16	30	1745
17	31	1738
18	33	1742
19	35	1741
20	37	1736
21	39	1736
22	40	1729
23	42	1728
24	44	1729
25	46	1733
26	48	1729
27	49	1725
28	51	1719
29	53	1721
30	54	1717
31	56	1714
32	58	1710
33	60	1707
34	61	1707
35	63	1705
36	65	1703
37	67	1703
38	68	1698
39	70	1696
40	72	1694
41	74	1696
42	76	1695
43	77	1691
44	79	1689
45	81	1685
46	83	1689
47	85	1686
48	86	1683
49	89	1691
50	90	1687
51	92	1684
52	94	1682
53	95	1680
54	97	1680
55	99	1678
56	101	1676
57	103	1675
58	104	1673
59	106	1670
60	108	1667
61	110	1665
62	111	1663
63	113	1664
64	115	1666
65	117	1667
66	119	1667
67	120	1653
68	122	1651
69	124	1649
70	126	1658
71	128	1657
72	130	1658
73	132	1654
74	134	1653
75	135	1650
76	137	1649
77	139	1647
78	141	1645
79	142	1642
80	144	1641
81	147	1647
82	148	1645
83	150	1645
84	152	1643
85	154	1640
86	156	1638
87	157	1637
88	159	1635
89	161	1633
90	163	1631
91	164	1628
92	166	1626
93	168	1624
94	170	1622
95	172	1621
96	174	1619
97	175	1619
98	177	1617
99	179	1616
100	181	1614
101	183	1613
102	184	1610
103	186	1608
104	188	1606
105	190	1605
106	192	1602
107	193	1600
108	195	1599
109	197	1597
110	199	1595
111	200	1592
112	202	1589
113	204	1588
114	206	1586
115	207	1584
116	209	1582
117	211	1580
118	213	1579
119	215	1577
120	216	1575
121	218	1573
122	220	1570
123	221	1567
124	223	1564
125	225	1562
126	226	1560
127	228	1558
128	230	1556
129	232	1554
130	233	1551
131	235	1549
132	237	1546
133	239	1546
134	240	1544
135	242	1541
136	244	1539
137	246	1537
138	248	1536
139	249	1534
140	251	1533
141	253	1531
142	255	1531
143	257	1529
144	259	1527
145	260	1524
146	262	1523
147	264	1521
148	265	1518
149	267	1516
150	269	1515
151	271	1512
152	272	1510
153	274	1508
154	276	1506
155	278	1504
156	279	1503
157	281	1501
158	283	1499
159	285	1497
160	287	1496
161	288	1493
162	290	1491
163	292	1490
164	294	1488
165	295	1486
166	297	1485
167	299	1483
168	301	1481
169	302	1478
170	304	1476
171	306	1474
172	308	1472
173	309	1470
174	311	1468
175	313	1466
176	315	1465
177	316	1463
178	318	1462
179	320	1461
180	322	1459
181	324	1457
182	326	1456
183	328	1454
184	329	1452
185	331	1451
186	333	1449
187	335	1447
188	336	1445
189	338	1444
190	340	1443
191	342	1442
192	344	1440
193	346	1438
194	348	1436
195	349	1434
196	351	1432
197	353	1430
198	354	1428
199	356	1426
200	358	1424
201	360	1426
202	362	1424
203	364	1422
204	366	1419
205	367	1417
206	369	1415
207	371	1413
208	372	1411
209	374	1409
210	376	1407
211	378	1405
212	380	1404
213	381	1402
